time_ms,ax,ay,az,gx,gy,gz
444781.0,0.4262,1.0942,10.6183,-0.0367,0.0112,-0.0484
444791.0,0.4669,1.1372,10.5896,-0.0133,0.0176,-0.0564
444801.0,0.4741,1.1875,10.5536,0.0064,0.0202,-0.0596
444811.0,0.5124,1.2115,10.5225,0.008,0.0096,-0.0607
444821.0,0.565,1.2929,10.4148,0.0043,0.0085,-0.0617
444831.0,0.6584,1.2474,10.4172,-0.0388,-0.0112,-0.0644
444841.0,0.6464,1.2139,10.3549,-0.0931,-0.0426,-0.0697
444851.0,0.6297,1.2498,10.3813,-0.1245,-0.0564,-0.0734
444861.0,0.5986,1.3072,10.2592,-0.1165,-0.0575,-0.0676
444871.0,0.6129,1.391,10.1059,-0.0947,-0.0468,-0.05
444881.0,0.6177,1.3575,10.0556,-0.0756,-0.0287,-0.0239
444891.0,0.6608,1.3312,9.9838,-0.0521,-0.0043,0.008
444901.0,0.7901,1.1923,9.9551,-0.0442,0.0101,0.033
444911.0,0.9242,1.0295,9.8689,-0.0303,0.0208,0.05
444921.0,1.0199,0.8188,9.8665,-0.0192,0.0234,0.0532
444931.0,1.1588,0.6728,9.7971,-0.0144,0.0048,0.0415
444941.0,1.2354,0.5842,9.5672,-0.0032,-0.0064,0.0218
444951.0,1.2785,0.5818,9.2751,0.0239,0.0165,-0.0043
444961.0,1.2426,0.6871,9.0453,0.0335,0.0724,-0.0319
444971.0,1.2354,0.7302,9.0501,0.0234,0.1612,-0.0506
444981.0,1.233,0.7709,9.1506,0.0032,0.2719,-0.0633
444991.0,1.2186,0.6416,9.6893,-0.0681,0.357,-0.0873
445001.0,1.2378,0.6393,10.2137,-0.1235,0.3954,-0.1213
445011.0,1.1803,0.7063,10.6638,-0.1495,0.4097,-0.1559
445021.0,0.905,0.8595,11.0421,-0.1309,0.4305,-0.174
445031.0,0.6009,1.0343,11.4156,-0.0724,0.4491,-0.1703
445041.0,0.2993,1.3934,11.6885,0.0548,0.4848,-0.1453
445051.0,0.079,1.719,11.892,0.1681,0.5263,-0.1032
445061.0,-0.1149,1.9489,12.2607,0.2038,0.5422,-0.0521
445071.0,-0.2466,2.0303,12.7874,0.1644,0.514,-0.0032
445081.0,-0.2251,1.8675,13.3405,0.0857,0.4145,0.0357
445091.0,-0.2969,1.6975,13.7044,0.0154,0.2629,0.0559
