time_ms,ax,ay,az,gx,gy,gz
476061.0,-0.2155,0.2969,8.1882,-0.5912,-0.7482,0.2453
476071.0,0.7039,-0.4262,8.157,-0.4773,-0.687,0.3416
476081.0,1.0463,-0.4429,11.3988,-0.1399,-0.423,0.3022
476091.0,-1.6927,0.2227,7.6471,0.6178,-0.3129,0.4704
476101.0,1.0199,-2.2242,8.4994,0.3656,-0.6082,0.513
476111.0,1.3743,-0.3926,6.4739,0.5965,-0.3097,0.4092
476121.0,0.8547,-0.5818,8.2313,0.4635,-0.0724,0.3656
476131.0,0.6608,-0.4286,7.8985,0.5433,0.0186,0.3725
476141.0,0.9553,-0.3567,7.2544,0.5683,0.149,0.3661
476151.0,0.8667,-0.2227,7.2281,0.4528,0.3757,0.3193
476161.0,0.3591,0.316,7.7045,0.2102,0.6029,0.2661
476171.0,-0.1077,0.3041,9.323,-0.066,0.7716,0.257
476181.0,-0.3855,-0.0838,11.0732,-0.1336,0.903,0.299
476191.0,-0.5626,-0.6369,12.5432,-0.0436,0.9206,0.3459
476201.0,-0.5794,-1.1612,13.623,0.1703,0.8503,0.3688
476211.0,-0.5986,-1.3647,13.9558,0.4544,0.7247,0.3608
476221.0,-0.4597,-1.2881,13.4387,0.6258,0.5055,0.3139
476231.0,-0.2394,-0.9888,12.5313,0.6327,0.2916,0.2379
476241.0,-0.4884,-0.5794,11.892,0.5481,0.1942,0.1655
476251.0,-0.7542,-0.3232,11.5233,0.4539,0.1618,0.1245
476261.0,-0.6728,-0.249,11.4156,0.4033,0.1458,0.1054
476271.0,-0.9313,-0.0862,11.2001,0.423,0.1655,0.1048
476281.0,-0.8475,-0.1915,11.2599,0.4784,0.1995,0.1266
476291.0,-0.1844,-0.5507,11.4419,0.5938,0.257,0.1437
476301.0,-0.735,-0.6919,11.4012,0.7295,0.3225,0.1266
476311.0,-1.0534,-0.7829,11.3054,0.746,0.3097,0.0612
476321.0,-0.8715,-0.6871,11.6598,0.6423,0.2581,-0.0394
476331.0,-0.7111,-0.7278,12.706,0.539,0.215,-0.1362
476341.0,-1.2641,-0.4501,13.2064,0.4757,0.0654,-0.232
476351.0,-1.4485,-0.1844,13.4602,0.3544,-0.2373,-0.3326
476361.0,-1.5083,0.3711,13.046,0.331,-0.4683,-0.4055
476371.0,-1.6113,0.8284,12.6174,0.2613,-0.6609,-0.4459
476381.0,-1.561,1.0894,12.2344,0.1245,-0.8349,-0.4677
476391.0,-1.5107,1.0989,12.2559,-0.0495,-0.9828,-0.4784
