time_ms,ax,ay,az,gx,gy,gz
99071.0,-0.668,1.5969,8.983,-0.4954,-0.6572,-0.1011
99081.0,-0.5076,1.1516,9.1387,-0.3294,-0.4784,0.0074
99091.0,0.1796,0.4908,9.0405,-0.0027,-0.3108,0.099
99101.0,0.972,0.2274,8.837,0.3565,-0.1458,0.1203
99111.0,1.494,0.4669,8.3366,0.5853,-0.0229,0.0708
99121.0,1.2258,1.7957,6.9767,0.5598,0.0436,-0.0165
99131.0,1.4772,2.2434,6.9264,0.183,0.1064,-0.1112
99141.0,1.4892,2.727,6.7133,-0.1953,0.2256,-0.1708
99151.0,0.9936,2.5235,7.6662,-0.5949,0.3406,-0.1841
99161.0,0.0192,1.4222,9.3637,-0.7572,0.5023,-0.1208
99171.0,-0.2586,0.103,11.971,-0.671,0.5619,-0.0341
99181.0,-0.079,-0.8164,13.4123,-0.3012,0.4321,0.0117
99191.0,0.3567,-0.9433,13.3668,0.1985,0.2448,-0.0202
99201.0,0.4166,-0.3232,12.6103,0.5976,0.1,-0.1064
99211.0,0.3017,0.668,11.2312,0.6965,-0.0532,-0.2075
99221.0,0.2777,1.3431,9.9144,0.4778,-0.2075,-0.3017
99241.0,0.0239,1.9154,9.0285,-0.1187,-0.1192,-0.3996
99251.0,-0.316,1.8411,9.6822,-0.2203,0.0479,-0.3831
99261.0,-0.3711,1.6712,10.8409,-0.2139,0.1426,-0.3512
99271.0,-0.2346,1.6735,11.6885,-0.0644,0.1735,-0.3017
99281.0,-0.0814,1.6951,12.1242,0.108,0.1213,-0.2522
99291.0,0.0958,1.9776,11.7962,0.2352,0.0144,-0.2182
99301.0,0.1532,2.2673,11.3198,0.2565,-0.0798,-0.1953
99311.0,0.1389,2.5426,10.6973,0.2214,-0.1309,-0.165
99321.0,-0.0407,2.7509,9.9335,0.133,-0.1399,-0.132
99331.0,-0.0622,2.6935,9.3757,-0.0511,-0.1117,-0.1101
99341.0,0.067,2.4229,9.1219,-0.3145,-0.0532,-0.1123
99351.0,0.0168,1.9824,9.6367,-0.6199,0.0117,-0.1442
99361.0,-0.0982,1.403,10.7045,-0.8109,0.0585,-0.1767
99371.0,-0.1149,0.8332,11.564,-0.7982,0.0527,-0.199
99381.0,0.0287,0.5531,11.9112,-0.6082,-0.0037,-0.2182
