time_ms,ax,ay,az,gx,gy,gz
1504391.0,-1.1779,8.3414,35.3193,-1.1648,0.8684,-1.7006
1504401.0,-2.241,11.7699,33.4901,-2.5632,0.9067,-1.9002
1504411.0,-2.6528,16.338,32.5994,-4.8039,0.5459,-1.8081
1504421.0,-3.3519,16.7881,34.1509,-6.8094,0.1203,-1.4931
1504431.0,-3.6583,15.6006,34.0264,-7.7087,0.1352,-1.0217
1504441.0,-3.6488,12.967,35.53,-7.4895,0.6534,-0.4842
1504451.0,-2.873,10.4866,36.593,-6.1842,1.5681,-0.0367
1504461.0,-3.2753,8.418,38.7382,-4.0776,2.834,0.4198
1504471.0,-3.9361,6.9145,41.3622,-1.6049,3.9994,0.8359
1504481.0,-3.6105,7.2401,42.5881,0.0766,4.7087,1.0584
1504491.0,-3.9169,8.1882,44.197,0.6178,4.838,1.1786
1504501.0,-4.4149,9.0884,44.9727,0.4784,4.4815,1.226
1504511.0,-4.549,9.6055,45.509,-0.3102,3.9642,1.2643
1504521.0,-5.2385,9.6534,46.0357,-1.209,3.3496,1.3436
1504531.0,-5.9568,8.6383,45.8825,-1.8698,2.9421,1.4074
1504541.0,-5.5354,6.3686,47.4052,-1.5745,2.8558,1.5085
1504551.0,-5.0087,4.3766,46.7923,-1.0291,2.8239,1.4841
1504561.0,-5.0661,4.0127,47.003,-0.6226,2.742,1.3585
1504571.0,-5.861,4.9321,46.3996,-0.2059,2.4605,1.2462
1504581.0,-5.861,7.6136,44.2257,-0.2187,2.154,1.1866
1504591.0,-6.1483,9.5193,43.3063,-0.3906,1.9582,1.2973
1504601.0,-6.7612,10.41,41.8985,-0.5374,1.7288,1.4654
1504611.0,-7.6231,11.2049,41.2569,-0.5848,1.4777,1.6676
1504621.0,-8.7053,12.5265,39.6671,-0.4789,1.218,1.9624
1504631.0,-9.3374,13.8672,36.8228,-0.1245,1.1153,2.4616
1504641.0,-10.0269,13.4458,33.9306,0.4459,1.4755,2.9772
1504651.0,-9.7971,11.5975,31.5652,1.2478,2.3174,3.5699
1504661.0,-7.355,6.0813,31.1725,2.0422,3.5258,3.7668
1504671.0,-7.604,2.6719,32.6856,2.552,4.3309,3.5481
1504681.0,-7.7189,1.5419,35.7502,2.5701,4.7699,3.1852
1504691.0,-9.6343,0.2394,39.6959,3.2427,5.0551,2.8383
1504701.0,-9.8737,0.8045,39.6576,3.4912,5.2828,2.4376
1504711.0,-11.2911,1.2641,40.9025,2.7553,5.3531,1.9129
1504721.0,-12.4307,1.5131,43.0765,1.8486,5.3328,1.3489
1504731.0,-12.5935,0.5267,47.6063,1.011,5.1881,0.7779
1504741.0,-13.8864,-1.1588,53.4386,0.3799,4.9284,0.0665
1504751.0,-14.5759,-2.7964,60.3435,0.4619,4.2819,-0.6715
1504761.0,-17.2957,-2.9784,67.1143,1.2946,3.1597,-1.4128
1504771.0,-17.5064,-0.0479,69.8053,2.2152,1.6261,-2.0247
1504781.0,-19.4218,4.2617,69.6425,2.7042,-0.1149,-2.4291
1504791.0,-19.7761,8.6287,65.8789,2.3759,-2.0736,-2.6978
1504801.0,-20.1209,11.3772,61.9907,1.1249,-3.877,-2.9245
1504811.0,-20.389,12.8425,58.7346,-0.0096,-5.385,-3.0394
1504821.0,-19.3451,12.9383,54.6548,-1.1063,-6.4763,-3.1405
1504831.0,-19.1728,11.9902,52.4713,-1.9039,-7.2649,-3.2682
1504841.0,-18.9238,11.2144,50.9678,-1.9539,-7.8167,-3.3651
1504851.0,-18.1289,11.0516,48.2288,-1.8789,-8.2951,-3.4401
1504861.0,-17.1808,11.6933,45.1642,-2.0965,-8.7612,-3.5471
1504871.0,-15.7922,12.536,42.4444,-2.3966,-9.2119,-3.5992
1504881.0,-14.8919,13.7044,39.0255,-2.7755,-9.5408,-3.6141
1504891.0,-14.0109,14.8153,35.7502,-3.3816,-9.5578,-3.5183
1504901.0,-12.7755,12.9766,35.032,-3.6955,-9.3194,-3.3103
1504911.0,-10.8026,9.1075,35.1373,-3.5795,-9.0683,-3.3449
1504921.0,-10.1418,7.2113,35.9801,-3.5774,-8.9544,-3.5737
1504931.0,-9.6534,6.292,37.2538,-3.2996,-9.0597,-3.8211
1504941.0,-8.7628,7.0677,36.2195,-3.1836,-9.3657,-4.0973
1504951.0,-8.4372,8.7149,34.7638,-3.6216,-9.809,-4.3362
1504961.0,-7.6136,11.1091,32.3792,-4.1734,-10.3166,-4.4719
1504971.0,-6.2345,12.8808,29.8988,-4.6241,-10.531,-4.3857
1504981.0,-4.9512,13.0149,27.1119,-4.6491,-10.248,-4.1707
1504991.0,-2.5091,11.9902,25.1583,-4.1941,-9.4524,-3.836
1505001.0,0.0575,10.659,24.3442,-3.711,-8.3451,-3.6152
1505011.0,0.4405,10.5249,24.6699,-3.5375,-7.6119,-3.5045
1505021.0,0.0287,11.4156,27.2077,-3.7338,-7.4815,-3.3603
1505031.0,0.316,12.038,27.2652,-3.6881,-7.6853,-3.1022
1505041.0,1.8483,12.1913,24.3538,-3.8355,-7.7252,-2.8234
1505051.0,3.8116,12.2104,20.2933,-4.2718,-7.4028,-2.6095
1505061.0,5.6886,11.7699,17.5926,-4.7177,-6.5652,-2.4296
1505071.0,6.5984,11.5113,16.089,-4.929,-5.4244,-2.2242
1505081.0,7.1443,12.0093,15.1314,-5.2222,-4.2574,-2.0268
1505091.0,6.8378,12.3637,17.5256,-5.2434,-3.0479,-1.6868
1505101.0,6.7325,11.5496,20.7912,-4.3415,-1.9002,-1.2271
1505111.0,7.039,11.5113,23.195,-3.1283,-1.019,-0.737
1505121.0,7.0102,11.0325,25.2157,-1.8358,-0.4507,-0.2373
1505131.0,7.8721,11.9135,23.8367,-0.9073,-0.0479,0.2097
1505141.0,7.7668,12.5839,22.5534,-0.5773,0.3496,0.7029
1505151.0,8.4563,13.9821,20.0538,-0.5741,0.8067,1.1483
1505161.0,8.6095,15.3325,16.8935,-1.4101,1.3457,1.5543
1505171.0,7.5944,17.1521,15.2559,-2.7744,1.8001,1.9651
1505181.0,5.2768,18.8567,14.5472,-4.4043,2.253,2.4961
1505191.0,2.2889,17.9182,15.9071,-5.8681,2.7021,3.1991
1505201.0,0.5171,13.7044,19.0483,-6.314,3.1278,3.8312
1505211.0,1.1013,11.4156,19.4409,-5.8442,3.6327,4.3309
1505221.0,1.9824,10.6877,19.4026,-5.1886,4.5522,4.7518
1505231.0,0.9385,13.6661,18.2917,-4.3117,5.7138,5.3185
1505241.0,-1.6281,16.7881,17.0084,-3.9738,7.2277,6.1746
1505251.0,-5.4205,16.9701,18.7131,-3.8589,8.707,7.2415
1505261.0,-8.6383,14.6812,22.2086,-4.0387,9.8686,8.2265
1505271.0,-11.7507,10.4674,27.9834,-3.885,10.6843,9.1843
1505281.0,-14.0779,3.6775,33.9402,-2.4451,11.5937,10.0873
1505291.0,-15.4665,-3.7445,36.1908,0.0,12.8659,10.7742
1505301.0,-14.6908,-12.9861,37.2442,1.9348,14.8396,10.8035
1505311.0,-14.8824,-20.0634,43.0382,2.8431,16.9898,9.9745
1505321.0,-18.0044,-20.7625,54.0611,2.7829,17.4357,8.7054
1505331.0,-22.0937,-15.0356,68.0432,2.1652,17.3208,7.6512
1505341.0,-25.9053,-10.3142,78.4508,1.7437,14.9417,7.2021
1505351.0,-27.4184,-6.5122,78.4508,2.3759,11.7145,7.1521
1505361.0,-26.6139,-3.8307,78.4508,3.5401,9.006,7.4916
1505371.0,-24.2581,-5.3822,78.4508,5.0029,7.5166,7.8465
1505381.0,-21.5382,-9.2799,72.3145,5.7654,7.2261,7.7752
1505391.0,-19.9772,-10.7548,68.771,5.676,7.2213,7.1415
1505401.0,-21.5287,-7.4699,68.7806,4.2314,6.661,6.3252
1505411.0,-23.7792,-4.1084,73.2913,2.4796,5.0641,5.7575
1505421.0,-24.2389,-1.5036,74.4692,1.3585,2.8984,5.4424
1505431.0,-23.5015,1.2546,71.7877,0.8519,0.9434,5.3594
1505441.0,-22.1128,4.6448,66.214,1.0408,-0.4794,5.5845
1505451.0,-21.5957,8.4372,58.045,1.2898,-1.1893,6.1166
1505461.0,-20.7529,9.7492,49.9814,1.2813,-1.1611,6.8153
