time_ms,ax,ay,az,gx,gy,gz
1365581.0,0.7901,1.7406,10.2831,-0.4539,-0.8035,0.075
1365591.0,1.0295,1.9393,10.307,-0.3374,-0.7508,0.0931
1365601.0,0.9553,2.3128,10.3837,-0.2368,-0.7003,0.1266
1365611.0,1.0511,2.4756,10.1682,-0.1969,-0.6965,0.1873
1365621.0,1.1779,2.2027,10.1131,-0.2639,-0.7125,0.2496
1365631.0,1.4964,1.6472,9.7851,-0.3789,-0.7519,0.2921
1365641.0,1.6424,0.9816,9.7636,-0.4874,-0.7636,0.2932
1365651.0,1.8507,0.6249,9.3182,-0.5023,-0.7327,0.2661
1365661.0,2.0255,0.1724,9.3541,-0.513,-0.6641,0.2171
1365671.0,2.2577,0.1532,9.1889,-0.4417,-0.5821,0.1554
1365681.0,2.3032,0.3543,9.3972,-0.3794,-0.5066,0.0883
1365691.0,2.1691,0.8882,9.3254,-0.2783,-0.4464,0.0474
1365701.0,2.1763,1.1492,9.1435,-0.2107,-0.4108,0.049
1365711.0,2.1045,1.1349,8.7388,-0.2208,-0.4001,0.067
1365721.0,2.3463,0.905,8.2983,-0.3054,-0.3964,0.0772
1365731.0,2.4325,0.4525,8.1642,-0.3485,-0.299,0.0761
1365741.0,2.4397,0.2777,8.0158,-0.307,-0.1458,0.0585
1365751.0,2.3846,0.0934,8.6622,-0.2751,0.0005,0.025
1365761.0,2.2625,0.3663,8.9591,-0.1341,0.1389,-0.0011
1365771.0,1.9872,0.577,9.6343,-0.0186,0.2416,-0.0122
1365781.0,1.6664,0.8475,10.1634,0.1086,0.2772,-0.0027
1365791.0,1.7885,1.0558,10.6087,0.2214,0.274,0.0223
1365801.0,1.8244,1.0965,10.647,0.2943,0.2315,0.0537
1365811.0,1.8148,0.9744,10.8362,0.2772,0.1399,0.0713
1365821.0,1.8172,0.9002,10.6949,0.248,0.0415,0.0761
1365831.0,1.8004,0.6153,10.6638,0.2352,-0.017,0.0756
1365841.0,1.8028,0.5148,10.2927,0.281,-0.0639,0.0654
1365851.0,1.9537,0.5243,9.8904,0.331,-0.0835,0.0442
1365861.0,1.9393,0.6704,9.4547,0.3895,-0.0564,0.0229
1365871.0,1.901,0.8356,9.3063,0.439,0.0048,0.0069
1365881.0,1.8483,1.075,8.9639,0.5204,0.0851,0.0069
1365891.0,2.0063,1.1971,9.2153,0.5683,0.1969,0.0106
1365901.0,1.9321,1.2881,9.4379,0.5938,0.3012,0.0218
1365911.0,2.1356,1.0774,10.0796,0.5204,0.3374,0.0181
1365921.0,1.8196,1.0247,10.2807,0.4145,0.3001,-0.0085
1365931.0,1.8028,1.0487,10.501,0.2767,0.2112,-0.0511
1365941.0,1.8268,1.2857,10.2208,0.1788,0.1325,-0.0846
1365951.0,1.7933,1.3982,10.1634,0.0883,0.1027,-0.108
1365961.0,1.7478,1.5993,9.9527,0.0506,0.1032,-0.1144
1365971.0,1.4844,1.6041,9.9024,0.0293,0.1171,-0.1075
1365981.0,1.6496,1.4844,9.9359,0.0372,0.157,-0.0947
1365991.0,1.4054,1.6568,10.0245,0.0729,0.2325,-0.0915
1366001.0,1.4748,1.8268,10.7428,0.0814,0.249,-0.0931
1366011.0,1.6161,2.0494,10.8218,0.2102,0.2591,-0.0628
1366021.0,1.6281,2.1165,11.1235,0.2847,0.2639,-0.0325
1366031.0,1.6305,2.1883,11.4515,0.2799,0.2075,-0.0154
1366041.0,1.4581,2.217,11.5736,0.257,0.1006,-0.0021
1366051.0,1.3815,2.0949,11.0277,0.2102,-0.0293,0.0053
1366061.0,1.6113,2.1213,10.331,0.0814,-0.1362,-0.009
1366071.0,1.664,2.0925,9.8474,-0.0841,-0.1857,-0.0335
1366081.0,1.6783,2.0423,9.177,-0.1697,-0.1724,-0.0415
1366091.0,1.8196,2.0662,8.7795,-0.191,-0.0697,-0.0436
1366101.0,1.7717,2.3008,8.9064,-0.1591,0.1155,-0.0378
1366111.0,1.6783,2.5043,9.335,-0.1128,0.265,-0.0122
1366121.0,1.8435,2.4948,9.8952,-0.1059,0.3379,0.0213
1366131.0,1.7358,2.466,10.2448,-0.1325,0.3634,0.0511
1366141.0,1.6592,2.4828,10.477,-0.2288,0.3038,0.0681
1366151.0,1.4461,2.4229,10.2424,-0.3624,0.1916,0.0878
1366161.0,1.5945,1.968,9.9886,-0.4454,0.141,0.1139
1366171.0,1.8292,1.7119,9.4403,-0.4262,0.2081,0.1298
1366181.0,1.4245,1.6209,9.9527,-0.4879,0.3124,0.1064
1366191.0,1.47,1.7645,10.41,-0.5092,0.315,0.0825
1366201.0,1.4844,1.8268,10.5967,-0.4257,0.3161,0.0851
1366211.0,1.2354,1.9345,10.3932,-0.3219,0.3155,0.1101
1366221.0,1.4724,1.7023,10.5608,-0.2746,0.265,0.1383
1366231.0,1.5802,1.5682,10.0868,-0.0761,0.2778,0.1793
1366241.0,1.8794,1.0654,9.8857,0.1256,0.339,0.2176
1366251.0,2.6217,0.3496,9.4762,0.3118,0.4033,0.2304
1366261.0,0.5555,0.4405,9.2871,0.4033,0.4667,0.1857
1366271.0,2.4086,0.5124,8.4946,0.4672,0.497,0.1282
1366281.0,1.3551,1.0798,9.9958,0.4076,0.7407,0.0543
1366291.0,1.1253,1.8268,11.0684,0.3624,0.7263,0.025
1366301.0,1.0343,2.1045,11.5329,0.2921,0.522,0.0378
1366311.0,0.9697,2.308,10.999,0.2224,0.34,0.0756
1366321.0,0.9888,1.8603,11.2551,0.0979,0.2118,0.1208
1366331.0,1.0678,1.2833,10.7308,0.1006,0.1101,0.1634
1366341.0,1.2761,0.5555,10.386,0.0772,0.0064,0.1639
1366351.0,1.2139,0.0814,9.9814,0.1245,-0.0298,0.125
1366361.0,1.3288,0.0024,9.6534,0.2591,0.0059,0.0676
1366371.0,1.2881,0.3807,9.481,0.4406,0.1011,0.0059
1366381.0,1.1444,0.9409,9.6295,0.5784,0.191,-0.0452
1366391.0,1.0295,1.5299,9.8713,0.6795,0.2368,-0.0756
1366401.0,0.9409,2.1428,9.8857,0.7519,0.2714,-0.083
1366411.0,0.8978,2.6384,10.082,0.7157,0.299,-0.0724
1366421.0,0.7542,2.7318,10.4052,0.5827,0.2932,-0.0532
1366431.0,0.905,2.4924,10.6638,0.4001,0.2416,-0.0447
1366441.0,0.8595,2.071,10.9798,0.2176,0.1793,-0.0585
1366451.0,0.9026,1.8603,11.066,0.108,0.1107,-0.0937
1366461.0,0.8499,1.8172,11.0875,0.0479,0.0639,-0.1415
1366471.0,0.8236,2.0901,10.9056,0.0617,0.0383,-0.1804
1366481.0,0.7614,2.4014,11.0492,0.0724,0.0213,-0.2027
1366491.0,0.7829,2.8084,10.896,0.1277,0.0106,-0.1953
1366501.0,0.7254,2.9975,10.7332,0.1676,0.0112,-0.1618
1366511.0,0.8092,2.873,10.7404,0.1543,-0.0144,-0.1187
1366521.0,1.0271,2.6001,10.647,0.1373,-0.0495,-0.0835
1366531.0,1.166,2.3104,10.3956,0.1165,-0.0612,-0.075
1366541.0,1.2546,2.2721,10.1706,0.0569,-0.0649,-0.0915
1366551.0,1.3312,2.1093,10.0676,-0.0426,-0.0724,-0.1224
1366561.0,1.3144,2.1931,9.8162,-0.1719,-0.0883,-0.1666
1366571.0,1.2139,2.3463,9.9048,-0.3267,-0.1038,-0.2118
1366581.0,1.087,2.5139,9.7947,-0.3837,-0.0782,-0.2283
1366591.0,1.0056,2.5043,9.8665,-0.4028,-0.0282,-0.2251
1366601.0,1.0942,2.4636,10.0604,-0.3954,0.017,-0.2166
1366611.0,0.9984,2.4565,10.161,-0.3491,0.0474,-0.207
1366621.0,1.1205,2.466,10.1251,-0.3017,0.0521,-0.1932
1366631.0,1.1133,2.6001,10.0533,-0.2607,0.0729,-0.1809
1366641.0,1.0319,2.6743,10.1466,-0.248,0.0995,-0.1612
1366651.0,0.9936,2.6456,10.0676,-0.2533,0.0974,-0.1346
1366661.0,1.0606,2.6025,9.9335,-0.2852,0.091,-0.1181
1366671.0,1.0391,2.4995,10.0149,-0.3517,0.1016,-0.1101
1366681.0,0.984,2.3798,10.1801,-0.4198,0.1133,-0.1117
1366691.0,0.9505,2.2745,10.3884,-0.4667,0.1059,-0.1181
1366701.0,0.9673,2.1979,10.5321,-0.4576,0.0899,-0.1181
1366711.0,0.9337,2.1261,10.6159,-0.4124,0.0718,-0.1155
1366721.0,0.929,2.2338,10.6063,-0.339,0.0511,-0.1091
1366731.0,0.9936,2.3583,10.5153,-0.2421,0.0447,-0.0905
1366741.0,0.9625,2.399,10.4004,-0.1612,0.0383,-0.0623
1366751.0,1.0463,2.3487,10.307,-0.1096,0.0218,-0.0309
1366761.0,1.0534,2.2793,10.0628,-0.0777,0.0144,-0.0059
1366771.0,1.1372,2.1165,9.9359,-0.0601,0.0234,0.0122
1366781.0,1.1803,1.8866,9.9718,-0.0553,0.0452,0.0197
1366791.0,1.1875,1.6137,10.003,-0.0665,0.0585,0.0112
1366801.0,1.245,1.47,10.0341,-0.0745,0.0575,-0.0165
1366811.0,1.2163,1.4485,10.0365,-0.066,0.058,-0.0511
1366821.0,1.0918,1.5682,9.8569,-0.0468,0.0617,-0.0841
1366831.0,1.221,1.8531,9.7468,-0.0309,0.0761,-0.1112
1366841.0,1.2091,2.0853,9.6391,-0.0181,0.1139,-0.116
1366851.0,1.1588,2.217,9.663,-0.0458,0.1421,-0.1048
1366861.0,1.1205,2.1141,9.833,-0.0958,0.1548,-0.0899
1366871.0,1.0726,1.9249,9.9479,-0.1038,0.1703,-0.0734
1366881.0,1.1803,1.7789,9.9718,-0.0649,0.1942,-0.0665
1366891.0,1.1181,1.731,9.9934,-0.0234,0.216,-0.0686
1366901.0,1.0534,1.6831,9.9742,-0.0234,0.2059,-0.0814
1366911.0,1.0558,1.7214,9.8138,-0.0239,0.207,-0.0995
1366921.0,0.9984,1.9154,9.7947,-0.0239,0.241,-0.1197
1366931.0,0.9002,2.0997,9.8976,-0.0521,0.2708,-0.1341
1366941.0,0.8978,2.1644,10.0341,-0.0947,0.281,-0.1352
1366951.0,0.905,2.1069,10.1562,-0.1463,0.2857,-0.1314
1366961.0,0.8811,2.0255,10.343,-0.1916,0.2826,-0.1298
1366971.0,0.7997,1.8914,10.4651,-0.2166,0.274,-0.1309
1366981.0,0.8356,1.8603,10.4914,-0.2123,0.2607,-0.1368
1366991.0,0.7709,1.8507,10.5512,-0.1751,0.2677,-0.1405
1367001.0,0.7207,1.8364,10.6207,-0.1197,0.2857,-0.1415
1367011.0,0.6752,1.8196,10.7476,-0.0639,0.3028,-0.1415
1367021.0,0.5794,1.968,10.7859,-0.0048,0.3012,-0.1442
1367031.0,0.4764,2.2027,10.7691,0.0319,0.2831,-0.1474
1367041.0,0.395,2.5283,10.7835,0.0468,0.2746,-0.1378
