time_ms,ax,ay,az,gx,gy,gz
1870911.0,3.304,1.64,10.1011,-0.067,0.0713,0.0559
1870921.0,3.3327,1.4724,9.9886,-0.0553,0.0612,0.0617
1870931.0,3.3734,1.3862,9.9192,-0.0553,0.0479,0.0532
1870941.0,3.3854,1.3671,9.8234,-0.083,0.0362,0.0335
1870951.0,3.3926,1.3982,9.8282,-0.1128,0.0415,0.0144
1870961.0,3.3471,1.4413,9.9264,-0.1096,0.0559,0.0043
1870971.0,3.2992,1.5107,9.9671,-0.0942,0.0708,0.0005
1870981.0,3.2394,1.6161,9.9958,-0.0841,0.074,0.0016
1870991.0,3.2465,1.7142,10.0604,-0.0756,0.0628,0.0074
1871001.0,3.2226,1.7095,9.991,-0.0713,0.0511,0.0239
1871011.0,3.2417,1.6017,10.0556,-0.0676,0.0431,0.0431
1871021.0,3.316,1.4174,9.9527,-0.0521,0.0325,0.0543
1871031.0,3.4261,1.2761,9.8952,-0.0447,0.0287,0.0484
1871041.0,3.395,1.2665,9.8306,-0.0607,0.0287,0.0277
1871051.0,3.4117,1.3862,9.754,-0.0958,0.025,0.0021
1871061.0,3.2729,1.5275,9.8354,-0.1415,0.0218,-0.016
1871071.0,3.2394,1.5634,9.9599,-0.1517,0.0197,-0.0165
1871081.0,3.237,1.5802,9.9407,-0.0958,0.025,-0.0016
1871091.0,3.2968,1.5897,9.7372,-0.0176,0.0388,0.0186
1871101.0,3.3279,1.5754,9.6247,0.0133,0.0601,0.033
1871111.0,3.3423,1.5874,9.6031,-0.0085,0.0756,0.0335
1871121.0,3.2729,1.6233,9.6175,-0.0686,0.0793,0.0287
1871131.0,3.2729,1.5538,9.7947,-0.1437,0.0686,0.0282
1871141.0,3.2944,1.3958,9.9359,-0.1809,0.0474,0.0319
1871151.0,3.3208,1.2522,9.9264,-0.1453,0.0404,0.0378
1871161.0,3.4069,1.1253,9.7659,-0.0777,0.0495,0.0415
1871171.0,3.4141,1.0774,9.6103,-0.0314,0.075,0.033
1871181.0,3.4022,1.1444,9.5289,-0.0085,0.107,0.0101
1871191.0,3.3567,1.2977,9.6055,-0.0154,0.1447,-0.0117
1871201.0,3.2872,1.3767,9.8713,-0.0521,0.1687,-0.0261
1871211.0,3.2034,1.4054,10.1347,-0.0894,0.1543,-0.0346
1871221.0,3.2082,1.4269,10.2472,-0.0937,0.1128,-0.0325
1871231.0,3.2825,1.403,10.2137,-0.0676,0.0676,-0.0218
1871241.0,3.3351,1.3384,9.9503,-0.0394,0.0303,-0.0154
1871251.0,3.3662,1.415,9.6462,-0.042,0.0074,-0.0208
1871261.0,3.3806,1.4772,9.4379,-0.091,0.0133,-0.0351
1871271.0,3.3495,1.47,9.4164,-0.1543,0.041,-0.0436
1871281.0,3.3255,1.4222,9.6319,-0.1804,0.0729,-0.0484
1871291.0,3.2968,1.4078,9.7875,-0.1394,0.099,-0.049
1871301.0,3.2848,1.4629,9.7324,-0.0633,0.1224,-0.0426
1871311.0,3.2657,1.5012,9.6893,-0.0005,0.1399,-0.0346
1871321.0,3.316,1.5778,9.6319,0.0351,0.1469,-0.0282
1871331.0,3.3878,1.6472,9.4643,0.0293,0.1543,-0.0271
1871341.0,3.4022,1.7502,9.4571,-0.0181,0.1676,-0.0319
1871351.0,3.3351,1.9824,9.3134,-0.0814,0.1671,-0.0346
1871361.0,3.2609,2.1548,8.9232,-0.2059,0.166,-0.0266
1871371.0,3.3639,1.6759,9.6462,-0.3219,0.2666,-0.0048
