time_ms,ax,ay,az,gx,gy,gz
197241.0,-0.3232,0.9529,9.9072,-0.1719,0.1873,-0.1123
197251.0,-0.3065,0.9864,9.9288,-0.1937,0.1799,-0.0942
197261.0,-0.328,0.9984,10.0006,-0.2102,0.1745,-0.0729
197271.0,-0.3304,0.9433,10.0987,-0.2166,0.1676,-0.0521
197281.0,-0.3615,0.8715,10.1083,-0.1974,0.166,-0.0287
197291.0,-0.4022,0.7949,10.137,-0.1602,0.1639,-0.0069
197301.0,-0.4286,0.723,10.1562,-0.1059,0.1687,0.0117
197311.0,-0.4477,0.6871,10.1658,-0.0341,0.1868,0.0271
197321.0,-0.4645,0.6776,10.1873,0.025,0.2001,0.0378
197331.0,-0.4956,0.6536,10.1514,0.0468,0.2033,0.0452
197341.0,-0.565,0.6416,10.1778,0.0463,0.2054,0.0474
197351.0,-0.6105,0.6297,10.137,0.0319,0.2128,0.0463
197361.0,-0.6895,0.6105,10.1107,0.0096,0.2166,0.0484
197371.0,-0.8284,0.6584,10.0269,-0.0202,0.2224,0.05
197381.0,-0.826,0.6249,9.991,-0.0702,0.2347,0.0484
197391.0,-0.9002,0.589,10.0221,-0.1336,0.2506,0.0474
197401.0,-0.9409,0.4645,10.1323,-0.1862,0.2623,0.049
197411.0,-0.9122,0.2634,10.319,-0.1969,0.2831,0.0521
197421.0,-0.8835,0.0742,10.4435,-0.1777,0.2932,0.0516
197431.0,-0.8308,-0.0311,10.4651,-0.1463,0.2826,0.0436
197441.0,-0.7661,-0.1173,10.3597,-0.1426,0.2661,0.0245
197451.0,-0.6584,-0.2227,10.3022,-0.1745,0.2432,-0.0027
197461.0,-0.6464,-0.2346,10.2256,-0.2054,0.232,-0.0362
197471.0,-0.6416,-0.2131,10.1873,-0.2352,0.2144,-0.0702
197481.0,-0.6105,-0.1389,10.0963,-0.2448,0.2065,-0.1006
197491.0,-0.6105,-0.0096,10.1083,-0.2251,0.2208,-0.124
197501.0,-0.5842,0.1365,10.1658,-0.1761,0.248,-0.1341
197511.0,-0.5962,0.3639,10.24,-0.1011,0.2868,-0.132
197521.0,-0.6871,0.5602,10.3884,-0.0442,0.3161,-0.1235
197531.0,-0.6895,0.6823,10.5728,0.0,0.332,-0.1101
197541.0,-0.6847,0.7183,10.8194,0.0277,0.3448,-0.0947
197551.0,-0.6393,0.747,10.999,0.0447,0.3464,-0.0862
197561.0,-0.6656,0.8116,11.303,0.0415,0.3358,-0.0835
197571.0,-0.7566,0.9577,11.5544,0.0383,0.3161,-0.0798
197581.0,-0.893,1.1253,11.8752,0.0394,0.2799,-0.0681
197591.0,-0.9529,1.233,12.1123,0.0585,0.2384,-0.0474
197601.0,-1.0032,1.3264,12.2583,0.0793,0.19,-0.0223
197611.0,-1.063,1.3934,12.3637,0.0857,0.1394,0.0032
197621.0,-1.1109,1.5012,12.5313,0.0756,0.091,0.0255
197631.0,-1.2163,1.5897,12.7419,0.0607,0.0436,0.049
197641.0,-1.2929,1.6568,12.876,0.0527,-0.0133,0.0772
197651.0,-1.312,1.7166,12.9598,0.0521,-0.075,0.1101
197661.0,-1.3288,1.7861,12.9766,0.0474,-0.1261,0.1474
197671.0,-1.3551,1.719,13.1274,0.0027,-0.1873,0.183
197681.0,-1.3719,1.5802,13.2375,-0.075,-0.2863,0.2182
197691.0,-1.3671,1.3791,13.2687,-0.166,-0.4331,0.2453
197701.0,-1.3024,1.1372,13.0436,-0.2293,-0.5922,0.2634
197711.0,-1.2689,1.0032,12.8425,-0.2304,-0.7141,0.2826
197721.0,-1.1947,0.8571,12.5504,-0.1953,-0.8093,0.3033
197731.0,-1.1037,0.893,11.7316,-0.1932,-0.9637,0.3171
197741.0,-0.9553,0.929,10.4938,-0.2932,-1.1701,0.3198
197751.0,-0.68,0.8954,8.9447,-0.4129,-1.2819,0.3251
197761.0,-0.3089,0.7614,7.6974,-0.5114,-1.242,0.3411
197771.0,-0.1317,0.5938,6.9815,-0.5518,-1.0813,0.364
197781.0,-0.0192,0.4693,6.4572,-0.5422,-0.9035,0.3927
197791.0,0.0886,0.2921,6.043,-0.5252,-0.745,0.4177
197801.0,0.2777,0.1149,5.6503,-0.5098,-0.5997,0.4374
197811.0,0.4741,-0.0575,5.3822,-0.5002,-0.4528,0.4496
197821.0,0.6943,-0.2562,5.2265,-0.4768,-0.2959,0.4576
197831.0,0.8906,-0.3687,5.2385,-0.4268,-0.1378,0.4587
197841.0,0.9912,-0.3304,5.2625,-0.3379,0.0117,0.4576
197851.0,1.063,-0.3136,5.3367,-0.2288,0.1378,0.4576
197861.0,1.0295,-0.2897,5.3917,-0.1149,0.2448,0.4613
197871.0,1.0151,-0.2753,5.3989,-0.0245,0.3139,0.4555
197881.0,1.0032,-0.2777,5.3271,0.0782,0.3757,0.4454
197891.0,0.9266,-0.2179,5.2385,0.1974,0.4448,0.4326
197901.0,0.723,0.012,5.0135,0.3549,0.5364,0.4198
197911.0,0.6416,0.3687,4.458,0.5172,0.6311,0.4209
197921.0,0.5746,0.5339,3.5147,0.5763,0.721,0.4432
197931.0,0.5986,0.3136,2.6671,0.5098,0.8849,0.4704
197941.0,0.4717,0.1365,1.8364,0.3272,1.1095,0.4757
197951.0,0.2227,-0.0479,1.2258,0.009,1.3282,0.4566
197961.0,-0.0215,-0.4549,0.4597,-0.3549,1.582,0.4299
197971.0,-0.6033,-1.1181,0.5363,-0.6572,1.9763,0.397
197981.0,-1.2522,-1.9704,1.9896,-0.7636,2.4637,0.3379
197991.0,-1.8028,-2.3152,4.2593,-0.48,2.9788,0.2522
198001.0,-2.5259,-1.6568,6.5745,0.2373,3.5205,0.1713
198011.0,-3.7014,-0.1652,8.6072,1.1653,4.0148,0.1293
198021.0,-4.9775,1.5251,10.6734,1.9385,4.3628,0.1346
198031.0,-6.256,3.1508,12.6294,2.3743,4.5496,0.1692
