time_ms,ax,ay,az,gx,gy,gz
217311.0,-1.2881,0.0886,8.5736,0.2469,-0.3868,0.1171
217321.0,-1.257,0.0527,8.5641,0.2554,-0.3161,0.1197
217331.0,-1.2043,-0.0144,8.5114,0.265,-0.2501,0.1187
217341.0,-1.0989,-0.091,8.4851,0.2613,-0.182,0.1107
217351.0,-1.0415,-0.1341,8.4635,0.249,-0.107,0.0905
217361.0,-0.9984,-0.1341,8.521,0.2261,-0.0319,0.0654
217371.0,-1.0151,-0.0934,8.6287,0.1958,0.0388,0.0399
217381.0,-1.1181,-0.0742,8.7364,0.1591,0.1075,0.0101
217391.0,-1.1899,0.0239,8.9016,0.1346,0.174,-0.0202
217401.0,-1.2785,0.1125,9.0429,0.1213,0.2501,-0.0399
217411.0,-1.3815,0.1891,9.1985,0.1075,0.3182,-0.0532
217421.0,-1.4198,0.2035,9.4427,0.0713,0.3693,-0.0697
217431.0,-1.4245,0.2729,9.7372,0.016,0.3991,-0.0867
217441.0,-1.4676,0.2562,9.9671,-0.0521,0.4076,-0.1011
217451.0,-1.5538,0.2705,10.3166,-0.1043,0.4033,-0.1112
217461.0,-1.6496,0.3041,10.5967,-0.1219,0.3916,-0.1171
217471.0,-1.7166,0.3783,10.8194,-0.1032,0.3666,-0.1149
217481.0,-1.7789,0.4573,11.0014,-0.0521,0.3411,-0.1038
217491.0,-1.8004,0.6129,10.9894,0.0128,0.3139,-0.0905
217501.0,-1.8028,0.6943,11.0109,0.0575,0.2921,-0.0708
217511.0,-1.8244,0.7111,11.0109,0.0793,0.2591,-0.049
217521.0,-1.9752,0.7446,11.1474,0.091,0.2506,-0.0319
217531.0,-2.0279,0.9098,11.2623,0.1086,0.2469,-0.0154
217541.0,-2.0207,0.9529,11.4156,0.0937,0.2304,0.009
217551.0,-2.0423,0.8835,11.6334,0.0676,0.2086,0.0346
217561.0,-2.0135,0.7805,11.8393,0.0383,0.1687,0.0527
217571.0,-2.1045,0.7326,12.0668,0.0037,0.125,0.0607
217581.0,-2.2194,0.7494,12.1482,-0.0282,0.0702,0.0649
217591.0,-2.4014,0.68,12.3086,-0.0819,0.0112,0.0644
217601.0,-2.5163,0.6033,12.3972,-0.1155,-0.042,0.0633
217611.0,-2.5977,0.5028,12.6198,-0.1628,-0.1027,0.0564
217621.0,-2.5929,0.3735,12.7802,-0.2192,-0.1846,0.0404
217631.0,-2.5762,0.2418,12.9071,-0.2597,-0.2762,0.0176
217641.0,-2.6935,0.1484,12.9024,-0.2804,-0.3555,-0.0096
217651.0,-2.897,-0.1245,13.0556,-0.3044,-0.406,-0.0378
217661.0,-3.0023,-0.5219,13.5033,-0.3251,-0.431,-0.0761
217671.0,-2.8778,-0.9529,14.3293,-0.3597,-0.4789,-0.1394
217681.0,-2.6743,-1.2617,15.0164,-0.4672,-0.6646,-0.2426
217691.0,-2.3727,-1.3791,15.2606,-0.7013,-1.0195,-0.3927
217701.0,-2.2122,-1.2498,14.9614,-0.9956,-1.4415,-0.5646
217711.0,-2.1093,-0.9457,14.4059,-1.2664,-1.8544,-0.7242
